section,quantity,case,compression_ratio,external_pressure_MPa,value,unit,precision,note
# Lee et al. 2024, J. Energy Storage 82, 110431. DOI 10.1016/j.est.2024.110431. Hanbat Nat. Univ. (Daejeon, Korea).
# DEM (Ansys Rocky DEM 4.5, HYSTERETIC LINEAR SPRING contact model, NOT Hertz) -> outputs compression ratio + Young's modulus + volume fractions + surface area + tortuosity
#   -> FEM (COMSOL Multiphysics 6.0, pseudo-3D / 2D electro-chemo-mechanical, Butler-Volmer + solid-phase potential + Maxwell porosity sigma + Bruggeman).
# MATERIALS: SE = LGPS (Li10GeP2S12) and LLZO (Li6.4La3Zr2Al0.2O12) -- NOT LPSCl. CAM = NMC (LiNixMnyCozO2, generic). Anode = graphite. Conductive = carbon black.
#   -> sulfide here is LGPS (E=37.2 GPa), NOT our LPSCl (E_SE 22.1-24). Use TRENDS not absolute sigma. DEM-FEM coupling is the transferable methodology.
# study type: DEM+FEM multiphysics, EFFECT OF INITIAL/EXTERNAL PRESSURE + COMPRESSION RATE. 8 case studies (Table 3). All values stated-in-text unless flagged digitized.
#
# ============ DEM material properties (Table 1) ============
dem_material,density,graphite,,,2180,kg/m3,exact_text,anode active
dem_material,density,NMC,,,4750,kg/m3,exact_text,cathode active
dem_material,density,LLZO,,,5500,kg/m3,exact_text,oxide SE
dem_material,density,LGPS,,,2000,kg/m3,exact_text,sulfide SE (Li10GeP2S12)
dem_material,density,carbon_black,,,1950,kg/m3,exact_text,conductive additive
dem_material,youngs_modulus,graphite,,,1,GPa,exact_text,very soft (solid-lubricant-like, high compressibility)
dem_material,youngs_modulus,NMC,,,144,GPa,exact_text,CAM (cf our NMC811 140)
dem_material,youngs_modulus,LLZO,,,150.3,GPa,exact_text,stiff oxide SE
dem_material,youngs_modulus,LGPS,,,37.2,GPa,exact_text,sulfide SE (cf our LPSCl 22.1-24)
dem_material,youngs_modulus,carbon_black,,,80,GPa,exact_text,
dem_material,poisson_ratio,graphite,,,0.3,-,exact_text,
dem_material,poisson_ratio,NMC,,,0.25,-,exact_text,
dem_material,poisson_ratio,LLZO,,,0.26,-,exact_text,
dem_material,poisson_ratio,LGPS,,,0.3,-,exact_text,
dem_material,poisson_ratio,carbon_black,,,0.3,-,exact_text,
dem_material,particle_radius,graphite,,,14,um,exact_text,DEM diameter (Table1 lists 14 um size)
dem_material,particle_radius,NMC,,,12,um,exact_text,
dem_material,particle_radius,LLZO,,,30,um,exact_text,
dem_material,particle_radius,LGPS,,,30,um,exact_text,
dem_material,particle_radius,carbon_black,,,4,um,exact_text,
dem_material,friction_coeff,graphite,,,0.1,-,exact_text,
dem_material,friction_coeff,carbon_black,,,0.1,-,exact_text,
dem_material,friction_coeff,NMC,,,0.2,-,exact_text,
dem_material,friction_coeff,LLZO,,,0.3,-,exact_text,
dem_material,friction_coeff,LGPS,,,0.3,-,exact_text,
dem_setup,powder_fill_rate,,,,80,pct,exact_text,die filling fraction
dem_setup,n_particles,,,,1000-30000,count,exact_text,generated for accuracy
dem_setup,mixing_volratio_std_NMC,,,,0.695/0.118,ratio/std,exact_text,8-section uniformity check (cathode)
dem_setup,mixing_volratio_std_graphite,,,,0.682/0.047,ratio/std,exact_text,8-section uniformity check (anode)
#
# ============ DEM compaction results (SE mixtures, Fig 2 / Fig 3) ============
dem_result,SE_mix_best_compaction_LGPS_frac,,,,66,wt_pct,exact_text,LGPS 66wt% (LLZO 33wt%) -> high-compressibility material improves compaction
dem_result,cathode_TP_BP_stress_transfer,,0.71_at_yield,,51,pct,exact_text,top->bottom punch stress transfer at NMC yield (~100 MPa); cathode mix
dem_result,cathode_yield_stress_approx,,,,100,MPa,exact_text,NMC yield ~100 MPa (TP)
dem_result,anode_TP_BP_stress_transfer,,0.7_CR,,61,pct,exact_text,graphite anode mix at CR 70%
dem_result,anode_compression_rate_yield,,,,70,pct,exact_text,graphite reaches yield ~CR 70% (very high compressibility, solid-lubricant)
#
# ============ FEM electrochemical results vs compression ratio (Fig 4) ============
fem_result,relative_capacity,case1,0.7,10,0.8,fraction,exact_text,CR 0.7 -> better echem (discharge)
fem_result,relative_capacity,case2,0.5,10,0.6,fraction,exact_text,CR 0.5 -> lower capacity
fem_result,voltage_cutoff,,,,3.5,V,exact_text,discharge cut-off
fem_result,voltage_charge_top,,,,4.2,V,exact_text,charge top
#
# ============ FEM mechanical results: von Mises stress vs compression ratio (Fig 5/6) ============
mech_result,max_vonMises_anode_discharge,case1,0.7,10,688,MPa,exact_text,max anode stress @ CR 0.7 discharge
mech_result,max_vonMises_anode_discharge,case2,0.5,10,76,MPa,exact_text,max anode stress @ CR 0.5 discharge -> CR 0.5 MUCH lower stress
