# Zhu & Mo, "Materials Design Principles for Air-Stable Lithium/Sodium Solid Electrolytes",
#   Angew. Chem. Int. Ed. 2020, 59, 17472-17476.  DOI 10.1002/anie.202007621
#   SOURCE FILE: anie_202007621_sm_miscellaneous_information.xlsx (SI spreadsheet), 전수 전사 2026-08-05.
#
# !! 이것은 문헌 소환값이다. 우리(Yonghoon-DEM-DFT) 계산이 아니다. !!
#   우리 db 절대값(db/properties/*.json, ESW/gap/sigma 등)과 같은 표·같은 축에 넣지 말 것.
#   인용할 때는 반드시 (a) 출처 (b) 계산 수준 (c) 부분압 조건을 함께 적는다.
#
# 계산 수준 (SI Methods):
#   - 고체 대부분 = Materials Project 형성에너지 직접 소환 (GGA-PBE + MP anion correction),
#     엔트로피/PV 항 무시. 대상은 MP convex hull 위 50 meV/atom 이내 화합물 전부(준안정 포함).
#   - 자체 DFT 4종만: Li3AsS4, Na3AsS4 (enargite-type Pmn2_1), Li3YCl6, Li2ZrCl6 (P-31m).
#     VASP + PAW, GGA-PBE, ecut 520 eV, pseudo Li_sv/Na_pv/P/S. k-mesh 미기재. entry id 칸이 빈 행이 이들.
#   - hydroxide 고체 19종 = NIST-JANAF 실험 표준생성엔탈피 (보정 스킴 없음).
#   - 기체 H2O/H2S/HCl = NIST-JANAF 실험 엔탈피+엔트로피, T = 300 K.
#   - 부분압 보정 dmu(x) = kB*T*ln(x);  preset: x(H2O)=0.1% (=300 K RH ~3%), x(H2S)=x(HCl)=1 ppm.
#   - 대표 가수분해 반응 = H2O 당 정규화 후 최저 dG 반응 (tracer-H2O 극한). SI Step 1-4 알고리즘.
#   -> DFT(고체) + 실험(기체/수산화물) 혼합 스킴. 절대값은 ~0.1 eV급 스킴 의존성 예상.
#
# !! 염화물 부분압 규약 불일치 (우리가 전사 중 발견, 2026-08-05) !!
#   Excel 의 sulfide 시트는 SI 본문값과 일치한다 (Li2S 0.225 = SI eq.(1); Li3PS4 -0.594 vs 본문 -0.608).
#   그러나 chloride 시트(M-Cl / Li-M-Cl / Na-M-Cl)는 SI 본문 이성분 식과 어긋난다:
#     Excel LiCl 1.335 vs SI 본문 +0.977 / Excel NaCl 1.880 vs SI 본문 +1.532.
#   차이 = 0.357 eV = kB*T*ln(1e6) @300 K = HCl 1 ppm 보정항, HCl 1개당.
#   교차검증 3건: (i) Fig 1 의 LiCl->LiOH 경계까지 거리가 0.977 로 읽힌다 (SI 본문 규약),
#                (ii) Fig S1 의 LiCl/NaCl 점선 기준선도 0.98/1.53 에 그려져 있다 (SI 본문 규약),
#                (iii) 그런데 Fig S1 의 LiCl/NaCl *데이터 점* 과 Fig 3c 의 14종은 Excel 값과 정확히 일치.
#   => 논문의 chloride 산점도/표는 HCl 1 ppm 보정을 빠뜨린 것으로 보인다 (H2O 0.1% 보정은 들어가 있음).
#      같은 그림(Fig S1) 안에서 기준선과 데이터 점의 규약이 다르다.
#   조치: 원본값을 'as_published' 로 그대로 두고, 우리가 유도한 preset 환산값을 별도 열로 병기한다.
#     dG_preset_corrected_OURS = dG_as_published - 0.35714 * n_gas_per_H2O   (chloride only)
#     sulfide 는 보정 0 (이미 preset).  ⚠ 이 환산은 우리 추론이다 - 논문이 제시한 값이 아니다.
#     인용 시 어느 열을 썼는지 반드시 밝힐 것.
#
# THIS FILE: SI xlsx 시트 'M-S' (46 binary sulfides) + 'M-Cl' (53 binary chlorides) = 99 행.
#   가수분해 반응식 + 반응에너지 (eV per H2O). 양수 = 수분 안정, 음수 = 자발 가수분해(수분 민감).
# 열 정의:
#   source_sheet                     원본 xlsx 시트명
#   system                           binary_sulfide | binary_chloride
#   row_in_sheet                     원본 시트의 행 번호 (전사 대조용)
#   compound / cation / mp_entry_id  원본 그대로. mp_entry_id 가 n/a_own_DFT 면 저자 자체 DFT
#   hydrolysis_reaction              원본 반응식 문자열 (H2O 1몰 기준 정규화)
#   gas_product / n_gas_per_H2O      생성 기체와 H2O 1몰당 계수 (반응식에서 우리가 파싱)
#   h2o_coeff_check                  좌변 H2O 계수 (전부 1.0 이어야 정상 - 전사 검증용)
#   dG_hyd_eV_per_H2O_as_published   ★ 논문 SI xlsx 값 그대로. 인용의 기본값.
#   preset_correction_eV_OURS        우리가 적용한 환산항 (sulfide 0 / chloride -0.35714*n_HCl)
#   dG_hyd_eV_per_H2O_preset_OURS    ★★ 우리 유도값 - 논문 값 아님. 위 규약 불일치 주석 참조.
#
source_sheet,system,row_in_sheet,compound,cation,mp_entry_id,hydrolysis_reaction,gas_product,n_gas_per_H2O,h2o_coeff_check,dG_hyd_eV_per_H2O_as_published,preset_correction_eV_OURS,dG_hyd_eV_per_H2O_preset_OURS
M-S,binary_sulfide,1,K2S,K+,mp-1022,0.5 K2S + H2O -> 0.5 H2S + KHO,H2S,0.5,1.0,0.403,0.0,0.403
M-S,binary_sulfide,2,BaS,Ba2+,mp-1500,0.5 BaS + H2O -> 0.5 H2S + 0.5 Ba(HO)2,H2S,0.5,1.0,0.422,0.0,0.422
M-S,binary_sulfide,3,Na2S,Na+,mp-648,0.5 Na2S + H2O -> 0.5 H2S + NaHO,H2S,0.5,1.0,0.416,0.0,0.416
M-S,binary_sulfide,4,SrS,Sr2+,mp-1087,0.5 SrS + H2O -> 0.5 H2S + 0.5 Sr(HO)2,H2S,0.5,1.0,0.359,0.0,0.359
M-S,binary_sulfide,5,Li2S,Li+,mp-1153,0.5 Li2S + H2O -> 0.5 H2S + LiHO,H2S,0.5,1.0,0.225,0.0,0.225
M-S,binary_sulfide,6,CaS,Ca2+,mp-1672,0.5 CaS + H2O -> 0.5 H2S + 0.5 Ca(HO)2,H2S,0.5,1.0,0.264,0.0,0.264
M-S,binary_sulfide,7,La2S3,La3+,mp-7475,5 La2S3 + H2O -> H2S + La10S14O,H2S,1.0,1.0,-0.365,0.0,-0.365
M-S,binary_sulfide,8,Tb2S3,Tb3+,mp-9323,0.5 Tb2S3 + H2O -> H2S + 0.5 Tb2SO2,H2S,1.0,1.0,-0.467,0.0,-0.467
M-S,binary_sulfide,9,Ce2S3,Ce3+,mp-20973,0.5 Ce2S3 + H2O -> H2S + 0.5 Ce2SO2,H2S,1.0,1.0,-0.216,0.0,-0.216
M-S,binary_sulfide,10,Pr2S3,Pr3+,mp-15179,5 Pr2S3 + H2O -> H2S + Pr10S14O,H2S,1.0,1.0,-0.14,0.0,-0.14
M-S,binary_sulfide,11,Nd2S3,Nd3+,mp-438,0.5 Nd2S3 + H2O -> H2S + 0.5 Nd2SO2,H2S,1.0,1.0,-0.191,0.0,-0.191
M-S,binary_sulfide,12,Sm2S3,Sm3+,mp-1403,0.5 Sm2S3 + H2O -> H2S + 0.5 Sm2SO2,H2S,1.0,1.0,-0.303,0.0,-0.303
M-S,binary_sulfide,13,Gd2S3,Gd3+,mp-608146,0.5 Gd2S3 + H2O -> H2S + 0.5 Gd2SO2,H2S,1.0,1.0,-0.342,0.0,-0.342
M-S,binary_sulfide,14,Dy2S3,Dy3+,mp-1270,0.5 Dy2S3 + H2O -> H2S + 0.5 Dy2SO2,H2S,1.0,1.0,-0.511,0.0,-0.511
M-S,binary_sulfide,15,Y2S3,Y3+,mp-541289,0.5 Y2S3 + H2O -> H2S + 0.5 Y2SO2,H2S,1.0,1.0,-0.4,0.0,-0.4
M-S,binary_sulfide,16,Ho2S3,Ho3+,mp-878,0.5 Ho2S3 + H2O -> H2S + 0.5 Ho2SO2,H2S,1.0,1.0,-0.535,0.0,-0.535
M-S,binary_sulfide,17,Er2S3,Er3+,mp-2234,0.5 Er2S3 + H2O -> H2S + 0.5 Er2SO2,H2S,1.0,1.0,-0.568,0.0,-0.568
M-S,binary_sulfide,18,Tm2S3,Tm3+,mp-18529,0.5 Tm2S3 + H2O -> H2S + 0.5 Tm2SO2,H2S,1.0,1.0,-0.583,0.0,-0.583
M-S,binary_sulfide,19,HfS2,Hf4+,mp-985829,0.5 HfS2 + H2O -> H2S + 0.5 HfO2,H2S,1.0,1.0,-0.625,0.0,-0.625
M-S,binary_sulfide,20,ZrS2,Zr4+,mp-1186,ZrS2 + H2O -> H2S + ZrSO,H2S,1.0,1.0,-0.459,0.0,-0.459
M-S,binary_sulfide,21,Sc2S3,Sc3+,mp-401,0.5 Sc2S3 + H2O -> H2S + 0.5 Sc2SO2,H2S,1.0,1.0,-0.449,0.0,-0.449
M-S,binary_sulfide,22,Ti2S3,Ti3+,mp-1101099,0.5 Ti2S3 + H2O -> H2S + 0.5 TiO2 + 0.5 TiS,H2S,1.0,1.0,-0.168,0.0,-0.168
M-S,binary_sulfide,23,TiS2,Ti4+,mp-2156,0.5 TiS2 + H2O -> H2S + 0.5 TiO2,H2S,1.0,1.0,-0.304,0.0,-0.304
M-S,binary_sulfide,24,MnS,Mn2+,mp-2065,MnS + H2O -> H2S + MnO,H2S,1.0,1.0,0.17,0.0,0.17
M-S,binary_sulfide,25,BeS,Be2+,mp-422,BeS + H2O -> H2S + BeO,H2S,1.0,1.0,-1.053,0.0,-1.053
M-S,binary_sulfide,26,Al2S3,Al3+,mp-2654,0.3333 Al2S3 + H2O -> H2S + 0.3333 Al2O3,H2S,1.0,1.0,-0.91,0.0,-0.91
M-S,binary_sulfide,27,ZnS,Zn2+,mp-556716,ZnS + H2O -> H2S + ZnO,H2S,1.0,1.0,1.081,0.0,1.081
