page_id,source_path,title,nav_section,nav_order,nav_depth,in_myst_toc,derived_live_url,live_url,http_status,content_status,webapp_categories,live_checked_at,route_status,heading_count,headings,code_fence_count,external_link_count,image_ref_count,bytes,sha256,source_url
fc-page-docs-catalysts-faq-md,docs/catalysts/FAQ.md,FAQ,Heterogeneous Catalysis,46,1,True,https://fair-chem.github.io/faq/,https://fair-chem.github.io/faq-1,200,live,faq | catalysis,2026-08-21,live_verified,5,FAQ | General | ML Questions | Catalysis Questions | Computational Catalysis Questions,1,10,0,28327,e2a5fcdde75ca8c8062cc19da4ae0d411e4b851522ee8038bccd83721b45b505,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/FAQ.md
fc-page-docs-catalysts-datasets-oc20-md,docs/catalysts/datasets/oc20.md,Open Catalyst 2020 (OC20),Heterogeneous Catalysis,32,1,True,https://fair-chem.github.io/oc20/,https://fair-chem.github.io/oc20,200,live,dataset | catalysis,2026-08-21,live_verified,19,"Open Catalyst 2020 (OC20) | Download and preprocess the dataset | Structure to Energy and Forces (S2EF) task | Initial Structure to Relaxed Structure (IS2RS) and Initial Structure to Relaxed Energy (IS2RE) tasks | Relaxation Trajectories | Adsorbate+catalyst system trajectories (optional download) | Per-adsorbate trajectories (optional download) | Catalyst system trajectories (optional download) | Bader charge data | OC20 mappings | Data mapping information | Adsorbate-catalyst system to catalyst system mapping information | Dataset changelog | September 2021 | March 2021 | Version 2, Feb 2021 | Version 1, Oct 2020 | Citing OC20 | Per-adsorbate trajectories",6,98,0,39539,b01cbd068438d81f12455027a32bb21c81a7884be67163b292658a6c24740030,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc20.md
fc-page-docs-catalysts-datasets-oc20-mads-md,docs/catalysts/datasets/oc20_mads.md,Open Catalyst 2020 Multi-Adsorbate (mAds) Dataset,Heterogeneous Catalysis,33,1,True,https://fair-chem.github.io/oc20-mads/,https://fair-chem.github.io/oc20-mads,200,live,dataset | catalysis,2026-08-21,live_verified,3,Open Catalyst 2020 Multi-Adsorbate (mAds) Dataset | Overview | File Contents and Download,0,3,0,1814,91d4a8a8e3c93e5f516b2dea9331d512316b1fa7bacc39799c2a27df7f8d7382,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc20_mads.md
fc-page-docs-catalysts-datasets-oc20-slabs-md,docs/catalysts/datasets/oc20_slabs.md,Open Catalyst 2020 Surfaces Dataset,Unlisted tracked page,,,False,https://fair-chem.github.io/oc20-slabs/,https://fair-chem.github.io/oc20-slabs/,404,source_only_orphan,dataset | catalysis | source_only,2026-08-21,source_only_orphan,3,Open Catalyst 2020 Surfaces Dataset | Overview | File Contents and Download,0,3,0,1133,7061e8a56707f6541167eb30218b991dba7cd4f7e6f78051576df55395734515,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc20_slabs.md
fc-page-docs-catalysts-datasets-oc20dense-md,docs/catalysts/datasets/oc20dense.md,Open Catalyst 2020 Dense (OC20Dense),Heterogeneous Catalysis,35,1,True,https://fair-chem.github.io/oc20dense/,https://fair-chem.github.io/oc20dense,200,live,dataset | catalysis,2026-08-21,live_verified,3,Open Catalyst 2020 Dense (OC20Dense) | Overview | File Contents and Download,1,5,0,4151,fa8277d50fe6ee49fcc7754be6bf15a459e97ee94124158d2a27f988cf74b609,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc20dense.md
fc-page-docs-catalysts-datasets-oc20neb-md,docs/catalysts/datasets/oc20neb.md,Open Catalyst 2020 Nudged Elastic Band (OC20NEB),Heterogeneous Catalysis,36,1,True,https://fair-chem.github.io/oc20neb/,https://fair-chem.github.io/oc20neb,200,live,dataset | catalysis | transition_state,2026-08-21,live_verified,4,"Open Catalyst 2020 Nudged Elastic Band (OC20NEB) | Overview | File Structure and Contents | Use a small number of steps here to keep the docs fast during CI, but otherwise do quite reasonable settings.",3,3,0,5015,7c0ff23c652c71ee44063f91076d256056900c90627324d092918c2f8d4f5dd7,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc20neb.md
fc-page-docs-catalysts-datasets-oc22-md,docs/catalysts/datasets/oc22.md,Open Catalyst 2022 (OC22),Heterogeneous Catalysis,34,1,True,https://fair-chem.github.io/oc22/,https://fair-chem.github.io/oc22,200,live,dataset | catalysis,2026-08-21,live_verified,9,Open Catalyst 2022 (OC22) | Structure to Total Energy and Forces (S2EF-Total) task | Initial Structure to Relaxed Structure (IS2RS) and Initial Structure to Relaxed Total Energy (IS2RE-Total) tasks | Relaxation Trajectories | System trajectories (optional download) | OC22 Mappings | Data mapping information | OC20 reference information | Citing OC22,3,5,0,6319,1bb62e0c69fcfcbfa7a3b77f73cf0997d85824e3f68693a886956f9e7ffabe21,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc22.md
fc-page-docs-catalysts-datasets-oc25-md,docs/catalysts/datasets/oc25.md,OC25,Heterogeneous Catalysis,38,1,True,https://fair-chem.github.io/oc25/,https://fair-chem.github.io/oc25,200,live,dataset | catalysis | interface,2026-08-21,live_verified,3,OC25 | Dataset format | Citing OC25,1,2,0,2094,56fbf38a035afeb5c8a43305f23a151afe297a3555a188b1ccd93cd44cfca210,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/oc25.md
fc-page-docs-catalysts-datasets-ocx24-md,docs/catalysts/datasets/ocx24.md,Open Catalyst Experiments 2024 (OCx24): Bridging Experiments and Computational Models,Heterogeneous Catalysis,37,1,True,https://fair-chem.github.io/ocx24/,https://fair-chem.github.io/ocx24,200,live,dataset | catalysis | experiment,2026-08-21,live_verified,4,Open Catalyst Experiments 2024 (OCx24): Bridging Experiments and Computational Models | Experimental datasets | Computational datasets | Citing this work,1,4,0,2557,8bac7fc5c830b9583761d2791a8a060af9c3934f1f48cc75724cfc018cd509ff,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/ocx24.md
fc-page-docs-catalysts-datasets-summary-md,docs/catalysts/datasets/summary.md,Datasets,Heterogeneous Catalysis,31,1,True,https://fair-chem.github.io/summary/,https://fair-chem.github.io/summary-3,200,live,section_index | data | catalysis,2026-08-21,live_verified,1,Datasets,1,0,0,1564,dd30aa366ee1b69cd9610777279a37b9a801991601f26f9b7857819475c20de6,https://github.com/facebookresearch/fairchem/blob/93a03d656806a55f08c7cd126cfaa40ef18181fb/docs/catalysts/datasets/summary.md
