key	verdict	n_occ	sites	evidence_short	first_commit
Asia 2024	M	3	docs/GRADING_STORY.md:17,109 · scripts/grade_engine.py:293 (3)	실재: "Infiltration-driven performance enhancement of poly-crystalline cathodes in all-solid-state batteries", NPG Asia Mater. 16 (2024) (검색). 검색 요약: LIB 다공 전극에 **SE 용액을 침투**시키는 공정 논문 — 건식 300 MPa 압밀 중 생긴 균열이 치유된다는 근거가 아님 (조건 불일치). 리포 자신도 "ASSB 에선 SE 가 균열에 침투 불가" 라고 적는다 (ncm_sc_poly_electrochem_anchors.md:18 · Trevisa…	83e3101c2 (05-22, grade_engine) · 06aece281 (05-22, GRADING_STORY)
Dewald 2021	M(서지)	3	scripts/build_tau_regime_db.py:228 · scripts/compare_hertzian_vs_physics.py:118 · scripts/plot_tau_regime_si.py:108 (3)	리포가 이미 "Minnmann 과 같은 논문 (DOI 10.1149/1945-7111/abf8d7) ⇒ 이중계상" 으로 뺐다 (GAP3-37). 정본 minnmann2021 카드 저자 = Minnmann · Quillman · Burkhardt · Richter · Janek — **Dewald 없음** ⇒ 저자 표기 자체가 틀림. 값 2.4 는 카드의 τ_ion² @25 vol% (~2.4) 와 일치	660600a44 (04-24 import)
Kato 2016	M	3	docs/lit_bielefeld2020_effective_ionic_conductivity_binder.md:19,148 · webapp/predictor_engine.py:948 (3)	웹앱 줄: Kato 2016 = Nat. Energy 1, 16030 — 검색 요약상 이 논문의 전해질은 Li9.54Si1.74P1.44S11.7Cl0.3 (25 mS/cm) 계 (미확인) ⇒ NCM811/LPSCl 계면 j₀ 의 출처로 볼 근거가 없음 (소재 불일치). 같은 줄의 "Sakuda (2017)" 은 커버리지 측정의 거짓 커버 (§0) — 서지 미특정, 판정 U. 문서 2곳(lit_bielefeld2020 :19 · :148)은 정본 bielefeld2020 카드 "σ_bulk,SE = 2.7 mS/cm (Kato 2016)" 과 일치 = V	660600a44 (04-24 import) · 문서 2곳 a6bcce934 (06-26)
Nature 2025	M(서지)	2	docs/lab_weekly_20260727_digest.md:11 · webapp/templates/step5.html:35 (2)	웹앱이 가리키는 DOI(docs/step5_cycle_degradation.md:68) 10.1038/s41560-025-01726-8 = *Nature Energy* 10, 479–489 (2025) "High-energy, long-life Ni-rich cathode materials with columnar structures for ASSBs" (검색) ⇒ 학술지명 오기. 검색 요약: Li[NixCoyAl]O₂ Ni 80–95 %, "detachment increases with Ni content" — "Ni≥85" 문턱은 미확인. TabPFN 줄은 …	6c9296fe0 (07-23, step5.html)
Sridhar-Fleck-McMeeking 2000	M(서지)	1	scripts/predict_porosity_strict_physics.py:16 (1)	저자명 혼합: Sridhar & Fleck 2000 (Acta Mater. 48, 3341) 과 Storåkers · Fleck · McMeeking 1999 (JMPS 47) 를 섞은 이름. α = 2 "published/typical" 은 감사 C D1 에서 원문 미확인 (다른 스크립트는 같은 인용으로 α = 3)	288d7b27c (05-13)
Inorganics 2025	M(서지)	3	docs/rint_anchor_db_research.md:69,169 · docs/rint_reference_growthlaw_design.md:138 (3)	DOI 10.3390/inorganics14070180 = *Inorganics* **2026**, 14(7), 180 (2026-07-03 게재, 검색). 내용(5 성분·로딩 의존)은 검색 요약과 일치, 연도만 틀림 (권 14 = 2026)	84bc3b354 (07-20)
Wenzel 2016	M	2	docs/paper_brittle_caveat.md:928,1126 (2)	리포가 서지를 특정하지 않음. 정본에 기록된 Wenzel 2016 판본들(chaney2024 · lai2025 · li2026 카드: ACS AMI Na₃PS₄|Na EIS · SSI Li₇P₃S₁₁|Li 전하이동 · LPSC XPS)은 전부 **계면 반응** 논문 — 입경–전도도 설명이 아님. 같은 문장의 "Cronau 2022 … D50 5–10 µm → <0.3 µm ≈1/3" 은 정본 cronau2022 카드상 σ 가 입경이 아니라 밀링 손상을 따름 (다른 감사 소관)	d62ba398b (04-30)
Yu-Standish 1996	M	2	docs/porosity_wave_shape_physics.md:63,71 (2)	1996 판은 Yu · Zou · Standish, Ind. Eng. Chem. Res. 35, 3730 "Modifying the linear packing model for predicting the porosity of **nonspherical** particle mixtures" (검색 — 제목) — 주제가 비구형 입자. 다성분 선형충전 모델은 1991 판 (Ind. Eng. Chem. Res. 30, 1372 "Estimation of the porosity of particle mixtures by a linear-mixture packing mod…	1e3070493 (05-13, 문서) · 144e18b60 (05-13, main.tex)
Zhou 2019	M	2	docs/literature_coverage/README.md:140,275 (2)	실재: Zhou · Park · Sun · Lalère · Adermann · Hartmann · Nazar, ACS Energy Lett. 4, 265 (2019) "Solvent-engineered design of argyrodite Li6PS5X" (검색) — ① 은 B (값 미확인). ② 이 논문은 **황화물 argyrodite** 라 "Halide SE σ" 의 출처가 될 수 없음 (소재 불일치)	660600a44 (04-24 import)
Frontiers 2023	M(서지)	1	docs/cbd_morphology_roadmap.md:14 (1)	정본 matthews2024 카드: "Front. Energy Res. 11, 1336344 (**2024**) — DOI 의 2023 은 채택연도, 인용에는 2024". 피브릴 수치는 5 편을 합친 요약이고 이 카드는 "구간 서술만"	1381fbc0d (06-24)
Letters 2025	M(서지)	1	docs/GRADING_STORY.md:182 (1)	DOI 10.1021/acsenergylett.5c03923 = ACS Energy Lett. **11**(2), 2103–2114, 2026-02-13 게재 (Oh · S.-Y. Lee · H.-G. Jung 외, 검색) — 연도 오기. 감사 B 의 "grade_engine 'Lee 2025 ACS EL' = 실제 Oh 2026" 과 같은 뿌리 (같은 날 같은 세션)	06aece281 (05-22)
Materials 2024	M	1	docs/GRADING_STORY.md:185 (1)	Asia 2024 행과 같음 (같은 논문의 링크 줄)	06aece281 (05-22)
