id	group	quantity	code_name	value_unit	file_line@171934433	used_by	production	provenance_as_written	label	flags	judgment	root_commit	related_ids
A01	SE-ion	σ_grain (LPSCl grain interior)	SIGMA_GRAIN_MS_CM_25C / _S_CM_25C	3.0 mS/cm (3.0e-3 S/cm)	scripts/se_material.py:81	모든 σ_ion 경로: network_conductivity(SIGMA_BULK_DEFAULT) · step3/payload · T1 폼 SE_SG · predictor · webapp Jinja sigma_grain()	Y	:79 "Cronau 2021/2022 single-crystal σ_grain." / :45 "σ_grain = 3.0 mS/cm comes from Cronau 2021/2022 (Li6PS5Cl single-crystal)"	FALSE	b037d765c(15:35)에서 정정됨 — SELF-51 2단계	정본 cronau2021 카드 §0: 3.0 이라는 숫자 없음 · 단결정 측정 없음 · 측정한 argyrodite 는 Li6PS5Br (펠릿). Cronau 2022 (Batteries & Supercaps 5, e202200041)는 볼밀 Li5.5PS4.5Cl1.5 (검색 요약 — 미확인). ⇒ "Li6PS5Cl 단결정" 은 두 논문 어디에도 없다. 값(3.0)은 측정 범위 안이라 재계산 불요 — 틀린 것은 출처 문장.	label 이동 d66fd1448 (07-28); 신화의 기원 0a040f2b0 (04-29, "Sakuda 2013 Li6PS5Cl single-crystal ultrasonic") → Cronau 로 재귀속 2026-05-28 (38931e3e7·4395b742d)	SELF-51, CL-90(인접), L4-04
A02	SE-ion	σ_ion(SE) STEP3 재수출	SIGMA_ION_SE_S_CM_25C	3.0e-3 S/cm	scripts/step3_sigma.py:76	STEP3 이온 솔브 기본	Y	"# 3.0e-3 S/cm = 3.0 mS/cm (Cronau)"	FALSE	b037d765c 이후에도 잔존	A01 과 같은 오귀속을 주석으로 복제.	d66fd1448 2026-07-28	SELF-51
A03	SE-ion	--sigma-ion-se 기본값 help	--sigma-ion-se	3.0e-3 S/cm	scripts/mpm_webapp_payload.py:1232	MPM 킷 STEP3 이온망 (Phase A 는 --no-ion)	Y	"σ_ion SE (S/cm) = 3.0 mS/cm LPSCl grain (Cronau — production σ_grain anchor)"	FALSE	b037d765c 이후에도 잔존	A01 과 동일 — 사용자에게 보이는 CLI help 가 "Cronau 앵커" 라고 단정.	9d8b0a0e4 2026-07-09	SELF-51
A04	SE-ion	σ_grain 유도 카드 (웹앱)	group.html deriv-desc	3.0 mS/cm	webapp/templates/group.html:1298	웹앱 그룹 비교 화면 (사용자 노출)	Y(UI)	"σ_grain = 3.0 mS/cm: Cronau 2022 Li₆PS₅Cl ⟦CL-91 단결정 라벨⟧ grain conductivity (literature anchor, HIGH confidence)"	FALSE	b037d765c 이후에도 잔존	A01 과 동일 + "HIGH confidence" 라는 신뢰 등급까지 부여.	50c60cb00 2026-05-29	SELF-51
A05	SE-ion	σ_grain 설명 (웹앱)	single.html σ_ionic Stage-E desc	3.0 mS/cm	webapp/templates/single.html:2422	웹앱 단일 케이스 화면	Y(UI)	"intrinsic σ_grain = 3.0 mS/cm @ T_ref 25 °C (Cronau 문헌 상수; ...)"	FALSE	b037d765c 이후에도 잔존	"Cronau 문헌 상수" — 문헌에 그 상수가 없다 (A01).	df398e3db 2026-07-28	SELF-51
A06	SE-ion	문헌 참조표 σ_grain 단결정	build_literature_reference.py sigma_grain_single_cryst	2.5–3.5 mS/cm (project default 3.0)	scripts/build_literature_reference.py:99	→ docs/figures/physics_regime/literature_brittle_reference.csv (build_metrics_db 자동 병합)	Y(표시)	source 'Sakuda 2013', note 'Li6PS5Cl single-crystal ultrasonic, project default 3.0'	FALSE	b037d765c 이후에도 잔존	sakuda2013 카드: 소재는 75Li2S·25P2S5 유리, Li6PS5Cl 아님 · 단결정 없음 · 초음파는 E 측정법이지 σ 가 아님 · σ 는 0.31/0.34 mS/cm. ⇒ 세 서술어가 모두 거짓. ★ 이것이 "단결정 3.0" 신화의 최초 커밋이다 (나중에 출처만 Cronau 로 바뀜).	0a040f2b0 2026-04-29	SELF-51
A07	SE-ion	문헌 참조표 σ 펠릿	build_literature_reference.py sigma_grain_pellet	0.25–0.40 mS/cm	scripts/build_literature_reference.py:103	literature CSV (표시)	Y(표시)	source 'Sakuda 2013', note 'Cold-pressed Li6PS5Cl pellet, GB-dominated'	FALSE	b037d765c 이후에도 잔존	Sakuda 의 0.31 mS/cm (360 MPa) 는 75Li2S·25P2S5 유리 냉간 펠릿 — Li6PS5Cl 이 아니다. 수치는 맞고 소재가 틀렸다.	0a040f2b0 2026-04-29	
A08	SE-ion	σ_disk/σ_grain 비 (D1-F/D1-C)	SIGMA_DISK_RATIO_AMORPH / _AM_P / _AM_S	0.50 / 0.80 / 0.95	scripts/network_conductivity.py:147	get_sigma_disk_factor() — 호출처 0 (죽은 코드)	N	"Bracketed by Sakuda 2013 single-crystal (3.0) vs cold-pressed pellet (0.31) — geometric mean ~1.0, so factor ~0.33 for fully amorphized disk."	FALSE	DEAD-CODE, 내부모순(주석 0.33 vs 값 0.50)	Sakuda 에 단결정 3.0 없음 (A06 과 같은 신화). 주석이 유도한 0.33 과 실제 값 0.50 도 불일치. 생산 경로는 안 탐.	f68b9a1ff 2026-04-29	
A09	SE-ion	T_ref	T_REF_C	25 °C	scripts/se_material.py:85	σ_ion 온도 규약	Y	"★ OUR CONVENTION (not an anchor)"	CONV		정직한 규약 표기.		
A10	SE-ion	Eₐ 기본	EA_ION_EV_DEFAULT	0.41 eV	scripts/se_material.py:90	--temp-c 런 (기본 OFF)	Y(opt-in)	"Reisacher 2023, STATED, 375 MPa cold-press"	LIT-V		reisacher2023 카드: E_a(Li⁺) 0.41 eV (Fig 2b) · separator 375 MPa stated.		
A11	SE-ion	Eₐ 밴드 하단	EA_ION_EV_BAND[ma2024]	0.29 eV	scripts/se_material.py:92	온도 밴드	Y(opt-in)	"Ma 2024 (low edge)"	LIT-V		ma2024 카드: LPSC-0 Ea 0.29 eV (Fig 2b).		
A12	SE-ion	Eₐ 밴드 상단 + σT 규약	EA_ION_EV_BAND[kraft2017] / _CONVENTION	0.46 eV · σT=σ₀exp(−Eₐ/kT)	scripts/se_material.py:94	온도 밴드	Y(opt-in)	"Kraft 2017 (high edge) (Eₐ itself is figure-read)" / "[Kraft 2017, eq 5]"	LIT-V		kraft2017 카드: Li6PS5Cl E_A ~0.44–0.46 (Fig 6b 판독) · eq 5 = σT 형식. 코드가 "figure-read" 를 스스로 적는다.		
A13	SE-ion	σ_e 온도 무의존 정책	SIGMA_E_T_DEPENDENCE	NOT_MODELLED	scripts/se_material.py:107	σ_e 전 경로	Y	"Reisacher 2023 ... CM-4: 33.50 Ω @25 °C vs 43.89 Ω @65 °C"	LIT-V		reisacher2023 카드 R_total(CM-4) 33.50/43.89 Ω stated.		
