category,pasha_symbol,name,eq_ref,value_or_form,units,our_mapping,notes
parameter,k_e,elastic stiffness,Table2,1500,N/m,LIGGGHTS k via E (elastic loading/unloading branch),Loading/unloading branch slope (line BC and DE). Set from avg initial unloading slope of Thornton-Ning Fig11.
parameter,k_hat_e,maximal elastic stiffness,eq25/Table1-2,13000,N/m,coefficientMaxElasticStiffness k2_hat (load-dependent cap),Upper cap of load-dependent k_e at alpha_max=R*. Computed from Hertz tangent (eq25). = our k2_hat interpolation analog.
parameter,k_p,plastic stiffness,Table2,210,N/m,(plastic-branch slope; no LIGGGHTS direct slot - hooke is ~linear),Plastic loading branch slope (line CD, eq6). k_p<k_e. Plasticity = stiffness ratio k_p/k_e, NOT a pressure cap.
parameter,k_cp,plastic-cohesive (pull-off locus) stiffness,Table2/eq18,-20,N/m,adhesionStiffness analog (linearized pull-off slope),Slope of LINEARIZED pull-off locus f_cp=-k_cp*alpha_cp+f_0p (eq18). Negative. EEPA k_adh analog (2-param point with f_0p).
parameter,f_0,first-contact adhesion (jump-in),Table2/eq4,-2.1,uN,first-contact pull-off (van der Waals jump-in),Jump-in attraction = (8/9)*f_ce. = JKR pull-off times 8/9. EEPA f_0 analog (constant adhesion).
parameter,f_0p,linear pull-off intercept,Table2/eq18,-4.0,uN,linearized pull-off force-axis intercept,Force-axis intercept of linearized pull-off locus (eq18).
parameter,Gamma,interface/surface energy,sweep,0.02;0.1;0.2;0.5,J/m2,SE-SE surface energy (cohesion Gamma),JKR f_ce=-3/2*pi*R*Gamma. Sweep for e-v curves (Fig6). MPM --coh / adhesionStiffness mapping basis.
parameter,R_star,reduced radius,eq3,2.45,um,reduced radius (1/R1+1/R2)^-1,Validation particle-to-plane so R*=R_particle=2.45um.
parameter,E_particle,Young modulus (validation particle),Table1,1.2,GPa,(ammonium fluorescein - NOT LPSCl),Validation particle. Si wall E=182 GPa. nu=0.3 both. Soft vs our SE (real 24 / soft 1.35).
parameter,p_y,contact yield pressure,Table1,35.3,MPa,(yield-ONSET only - NOT a pressure cap),Used only to locate alpha_y/f_y (Thornton[24]/Johnson[25]). NOT capped in plastic branch -> NOT path A.
