system,n_seeds,PS_loss_pct_mean,PS_loss_pct_std,dP_Li_mean,dP_Li_std,dS_Li_mean,dS_Li_std,dLi_pen_mean,dLi_pen_std,B_S_final_mean,B_Li_final_mean
b2o3,3,21.8,9.1,1.67,0.56,0.68,0.20,7.0,4.2,3.00,1.50
modelc2x,3,25.6,0.0,1.63,0.31,0.96,0.07,7.3,0.5,,
modelc62,3,48.1,7.8,3.27,0.25,1.97,0.12,10.3,0.9,,
"# 3-seed x 100 ps SE|Li-metal campaign (kgy, 2026-07-07). Endpoints from per-seed analyzer; per-frame CSVs in kgy repo db/properties/interface_decomp_*_s*.csv"
"# CONTROLLED pair = b2o3 vs modelc2x (SAME 124/128-atom 2x frame, same surface; dopant isolated)."
#   PS_loss 21.8±9.1 vs 25.6±0.0 % -> ratio 0.85±0.36 = EQUAL within error. dP-Li/dS-Li/dpen also equal (dS-Li 0.71±0.22 marginal).
"# modelc62 (thin 1x slab, only 5 P) PS_loss 48.1±7.8% = 1.9x modelc2x SAME MATERIAL -> thin-slab artifact."
#   => the earlier '6x suppression' (b2o3 50ps single-seed vs modelc62) was cell-thickness artifact + 50ps timing. RETRACTED.
"# ROBUST b2o3 result: B-S 3.00->3.00 ALL seeds (BS3 thioborate intact); B-Li ~1-2 with B-S intact = Li-coordinated thioborate, NOT metallic LiB."
#   => equilibrium 'metallic LiB' worst-case still NOT realized dynamically; doping does NOT worsen the interface.
# Time: b2o3 PS_loss -8%@50ps(single seed) -> 15-35%@100ps: decomposition NOT yet self-limited at 100 ps (both systems still reacting).
"# GEOMETRY QUALIFIER (2026-07-09): in THIS slab B sits 37.8/45.3 A below the surface -> the 'LiB not realized' line above is a BURIED-dopant result."
"# Termination roll-scan (B/O placed at the surface + same-roll controls) -> interface_termination_scan.csv: B-exposed DOES lithiate but acts as a SACRIFICIAL SHIELD (host PS4 2.6x better preserved, Li penetration halted). No tested termination worsens the interface."
